"Año";"Periodo";"Comunidad de Madrid﻿ ";"España"
"2008";"Trimestre 1";"-2,75";"2,84"
"2008";"Trimestre 2";"-4,77";"-0,32"
"2008";"Trimestre 3";"-7,01";"-3,02"
"2008";"Trimestre 4";"-8,11";"-5,4"
"2009";"Trimestre 1";"-11,18";"-7,59"
"2009";"Trimestre 2";"-12,39";"-7,71"
"2009";"Trimestre 3";"-11";"-6,99"
"2009";"Trimestre 4";"-6,59";"-4,35"
"2010";"Trimestre 1";"-2,29";"-2,93"
"2010";"Trimestre 2";"1,36";"-0,94"
"2010";"Trimestre 3";"0,88";"-2,19"
"2010";"Trimestre 4";"1,68";"-1,9"
"2011";"Trimestre 1";"-3,05";"-4,14"
"2011";"Trimestre 2";"-7,08";"-6,77"
"2011";"Trimestre 3";"-8,86";"-7,4"
"2011";"Trimestre 4";"-15,68";"-11,17"
"2012";"Trimestre 1";"-14,25";"-12,55"
"2012";"Trimestre 2";"-16,01";"-14,38"
"2012";"Trimestre 3";"-17,9";"-15,23"
"2012";"Trimestre 4";"-13,07";"-12,79"
"2013";"Trimestre 1";"-16,75";"-14,26"
"2013";"Trimestre 2";"-13,19";"-12,04"
"2013";"Trimestre 3";"-8,19";"-7,93"
"2013";"Trimestre 4";"-6,48";"-7,8"
"2014";"Trimestre 1";"1,86";"-1,61"
"2014";"Trimestre 2";"2,69";"0,8"
"2014";"Trimestre 3";"2,82";"0,27"
"2014";"Trimestre 4";"2,9";"1,76"
"2015";"Trimestre 1";"2,31";"1,52"
"2015";"Trimestre 2";"6,35";"4,01"
"2015";"Trimestre 3";"6,92";"4,49"
"2015";"Trimestre 4";"7,32";"4,23"
"2016";"Trimestre 1";"9,74";"6,34"
"2016";"Trimestre 2";"7,75";"3,89"
"2016";"Trimestre 3";"7,81";"4,02"
"2016";"Trimestre 4";"9,02";"4,48"
"2017";"Trimestre 1";"10,64";"5,32"
"2017";"Trimestre 2";"10,87";"5,55"
"2017";"Trimestre 3";"12,35";"6,65"
"2017";"Trimestre 4";"11,91";"7,19"
"2018";"Trimestre 1";"10,15";"6,24"
"2018";"Trimestre 2";"10,11";"6,82"
"2018";"Trimestre 3";"10,89";"7,16"
"2018";"Trimestre 4";"9,58";"6,61"
"2019";"Trimestre 1";"9,71";"6,75"
"2019";"Trimestre 2";"6,46";"5,29"
"2019";"Trimestre 3";"4,6";"4,68"
"2019";"Trimestre 4";"2,93";"3,61"
"2020";"Trimestre 1";"2,51";"3,21"
"2020";"Trimestre 2";"1,66";"2,11"
"2020";"Trimestre 3";"1,21";"1,68"
"2020";"Trimestre 4";"1,47";"1,48"
"2021";"Trimestre 1";"-0,03";"0,9"
"2021";"Trimestre 2";"1,9";"3,26"
"2021";"Trimestre 3";"2,84";"4,21"
"2021";"Trimestre 4";"5,48";"6,38"
"2022";"Trimestre 1";"7,46";"8,54"
"2022";"Trimestre 2";"7,28";"8,02"
"2022";"Trimestre 3";"7,61";"7,64"
"2022";"Trimestre 4";"4,94";"5,45"
"2023";"Trimestre 1";"3,07";"3,49"
;;;
;;;
"Métrica":"Comunidad de Madrid﻿ "
"Fuente":"INE"
"Clasificación":"Base 2015"
"Unidad":"Índice de Precios"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"España"
"Fuente":"INE"
"Clasificación":"Base 2015"
"Unidad":"Índice de Precios"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-interanual-precio-vivienda-ine/4f256a3e-d820-46cb-bdeb-a2cfa32db015/madrid/304"
"Titulo":"Evolución interanual del precio de la vivienda en Comunidad de Madrid﻿, según el INE"
"Subtitulo":""
