date,year,distrito,paro,cdv,seguridad,zverde
01/01/16,2016,madrid,197753.0,66.4,65.7,6029.87
01/01/17,2017,madrid,182379.0,69.5,66.35,6219.2
01/01/18,2018,madrid,167871.0,69.5,68.5,6021.4
01/01/19,2019,madrid,167188.0,71.3,68.1,5823.6
01/01/20,2020,madrid,192241.0,71.65,68.1,6031.44
01/01/21,2021,madrid,217294.0,72.0,68.1,6031.44
01/01/22,2022,madrid,160316.0,70.06,74.5,6031.44
01/01/16,2016,centro,9008.0,66.9,69.5,46.9
01/01/17,2017,centro,8457.0,68.9,78.4,44.87
01/01/18,2018,centro,7807.0,69.2,80.85,45.94
01/01/19,2019,centro,7595.0,73.6,76.25,47.0
01/01/20,2020,centro,9078.5,71.8,76.25,45.24
01/01/21,2021,centro,10562.0,70.0,76.25,45.24
01/01/22,2022,centro,7299.0,70.07,77.0,45.24
01/01/16,2016,arganzuela,8290.0,74.0,63.55,131.37
01/01/17,2017,arganzuela,7693.0,75.1,68.65,129.71
01/01/18,2018,arganzuela,6946.0,73.3,70.5,129.66
01/01/19,2019,arganzuela,6802.0,77.9,76.7,129.6
01/01/20,2020,arganzuela,7739.5,75.95,76.7,131.49
01/01/21,2021,arganzuela,8677.0,74.0,76.7,131.49
01/01/22,2022,arganzuela,6188.0,75.04,77.5,131.49
01/01/16,2016,retiro,4788.0,81.0,69.25,154.8
01/01/17,2017,retiro,4504.0,77.9,75.4,154.2
01/01/18,2018,retiro,4200.0,76.9,73.0,154.4
01/01/19,2019,retiro,4097.0,80.3,73.85,154.6
01/01/20,2020,retiro,4561.0,79.15,73.85,150.31
01/01/21,2021,retiro,5025.0,78.0,73.85,150.31
01/01/22,2022,retiro,3800.0,78.88,81.0,150.31
01/01/16,2016,salamanca,5717.0,73.1,71.85,40.71
01/01/17,2017,salamanca,5342.0,78.5,76.8,43.42
01/01/18,2018,salamanca,4916.0,80.1,80.1,43.21
01/01/19,2019,salamanca,4717.0,77.5,77.35,43.0
01/01/20,2020,salamanca,5433.5,79.25,77.35,43.4
01/01/21,2021,salamanca,6150.0,81.0,77.35,43.4
01/01/22,2022,salamanca,4388.0,78.24,84.0,43.4
01/01/16,2016,chamartin,5526.0,73.1,74.0,57.44
01/01/17,2017,chamartin,5141.0,75.4,70.1,56.13
01/01/18,2018,chamartin,4681.0,81.6,80.7,55.56
01/01/19,2019,chamartin,4577.0,80.5,79.9,55.0
01/01/20,2020,chamartin,5253.0,80.25,79.9,55.1
01/01/21,2021,chamartin,5929.0,80.0,79.9,55.1
01/01/22,2022,chamartin,4296.0,78.48,82.5,55.1
01/01/16,2016,tetuan,9777.0,63.4,64.7,65.03
01/01/17,2017,tetuan,5141.0,63.5,61.45,65.3
01/01/18,2018,tetuan,8067.0,66.8,71.75,64.25
01/01/19,2019,tetuan,8193.0,67.1,70.6,63.2
01/01/20,2020,tetuan,9431.0,68.05,70.6,63.3
01/01/21,2021,tetuan,10669.0,69.0,70.6,63.3
01/01/22,2022,tetuan,7623.0,66.31,73.0,63.3
01/01/16,2016,chamberi,5743.0,74.8,71.1,12.21
01/01/17,2017,chamberi,5295.0,77.4,78.9,11.35
01/01/18,2018,chamberi,4895.0,75.2,75.1,11.08
01/01/19,2019,chamberi,4832.0,80.0,78.3,10.8
01/01/20,2020,chamberi,5466.5,79.0,78.3,10.9
01/01/21,2021,chamberi,6101.0,78.0,78.3,10.9
01/01/22,2022,chamberi,4318.0,77.4,83.5,10.9
01/01/16,2016,fuencarral,10621.0,74.2,74.4,569.28
01/01/17,2017,fuencarral,9890.0,73.7,73.7,593.72
01/01/18,2018,fuencarral,8994.0,70.6,73.7,478.31
01/01/19,2019,fuencarral,8951.0,75.8,70.4,362.9
01/01/20,2020,fuencarral,10111.0,76.9,70.4,376.8
01/01/21,2021,fuencarral,11271.0,78.0,70.4,376.8
01/01/22,2022,fuencarral,8500.0,74.87,81.0,376.8
01/01/16,2016,moncloa,4825.0,75.8,74.9,1892.35
01/01/17,2017,moncloa,4572.0,79.3,75.75,1897.34
01/01/18,2018,moncloa,4246.0,79.7,75.85,1846.17
01/01/19,2019,moncloa,4191.0,79.5,77.0,1795.0
01/01/20,2020,moncloa,4762.5,78.75,77.0,1835.1
01/01/21,2021,moncloa,5334.0,78.0,77.0,1835.1
01/01/22,2022,moncloa,3853.0,78.51,82.0,1835.1
01/01/16,2016,latina,15920.0,63.5,65.7,280.51
01/01/17,2017,latina,14576.0,72.0,66.9,291.06
01/01/18,2018,latina,13246.0,66.4,64.5,289.98
01/01/19,2019,latina,13138.0,68.6,63.3,288.9
01/01/20,2020,latina,15228.0,69.3,63.3,290.4
01/01/21,2021,latina,17318.0,70.0,63.3,290.4
01/01/22,2022,latina,12968.0,68.3,71.0,290.4
01/01/16,2016,carabanchel,18802.0,58.3,57.85,247.52
01/01/17,2017,carabanchel,16933.0,62.0,55.4,246.24
01/01/18,2018,carabanchel,15851.0,66.6,68.35,245.82
01/01/19,2019,carabanchel,16114.0,66.2,60.2,245.4
01/01/20,2020,carabanchel,18666.0,65.1,60.2,245.1
01/01/21,2021,carabanchel,21218.0,64.0,60.2,245.1
01/01/22,2022,carabanchel,15541.0,63.7,66.5,245.1
01/01/16,2016,usera,10840.0,53.1,56.15,195.86
01/01/17,2017,usera,9918.0,52.9,51.85,194.88
01/01/18,2018,usera,17950.0,65.7,64.05,196.04
01/01/19,2019,usera,9529.0,61.8,56.1,197.2
01/01/20,2020,usera,11220.5,62.9,56.1,200.7
01/01/21,2021,usera,12912.0,64.0,56.1,200.7
01/01/22,2022,usera,9239.0,60.07,62.5,200.7
01/01/16,2016,puente_vallecas,21403.0,52.9,61.55,295.91
01/01/17,2017,puente_vallecas,19447.0,62.5,57.05,307.04
01/01/18,2018,puente_vallecas,26426.0,61.2,55.5,310.22
01/01/19,2019,puente_vallecas,17806.0,60.0,58.45,313.4
01/01/20,2020,puente_vallecas,20342.0,61.0,58.45,313.4
01/01/21,2021,puente_vallecas,22878.0,62.0,58.45,313.4
01/01/22,2022,puente_vallecas,17206.0,59.93,66.5,313.4
01/01/16,2016,moratalaz,5953.0,70.6,73.35,179.55
01/01/17,2017,moratalaz,5642.0,74.3,69.55,179.81
01/01/18,2018,moratalaz,5244.0,69.2,66.35,179.8
01/01/19,2019,moratalaz,5018.0,76.4,71.15,179.8
01/01/20,2020,moratalaz,5630.5,75.2,71.15,181.3
01/01/21,2021,moratalaz,6243.0,74.0,71.15,181.3
01/01/22,2022,moratalaz,4854.0,73.28,77.5,181.3
01/01/16,2016,ciudad_lineal,12867.0,64.8,60.7,129.66
01/01/17,2017,ciudad_lineal,11535.0,68.6,63.4,131.21
01/01/18,2018,ciudad_lineal,10530.0,72.2,66.45,133.11
01/01/19,2019,ciudad_lineal,10467.0,69.5,63.2,135.0
01/01/20,2020,ciudad_lineal,12137.0,70.25,63.2,135.3
01/01/21,2021,ciudad_lineal,13807.0,71.0,63.2,135.3
01/01/22,2022,ciudad_lineal,9969.0,69.39,74.0,135.3
01/01/16,2016,hortaleza,9178.0,68.3,73.0,641.83
01/01/17,2017,hortaleza,8666.0,72.6,74.55,747.04
01/01/18,2018,hortaleza,7966.0,71.3,74.4,699.47
01/01/19,2019,hortaleza,7856.0,75.7,68.65,651.9
01/01/20,2020,hortaleza,8972.0,75.85,68.65,732.7
01/01/21,2021,hortaleza,10088.0,76.0,68.65,732.7
01/01/22,2022,hortaleza,7710.0,73.29,78.5,732.7
01/01/16,2016,villaverde,12533.0,58.3,50.65,210.62
01/01/17,2017,villaverde,11379.0,55.2,47.7,216.96
01/01/18,2018,villaverde,10733.0,49.0,43.85,233.03
01/01/19,2019,villaverde,10808.0,56.3,51.85,249.1
01/01/20,2020,villaverde,12674.0,58.15,51.85,250.6
01/01/21,2021,villaverde,14540.0,60.0,51.85,250.6
01/01/22,2022,villaverde,10724.0,56.16,60.5,250.6
01/01/16,2016,villa_vallecas,7982.0,65.4,59.8,273.01
01/01/17,2017,villa_vallecas,7684.0,66.8,60.3,284.97
01/01/18,2018,villa_vallecas,7130.0,66.6,62.1,285.29
01/01/19,2019,villa_vallecas,7306.0,69.0,63.35,285.6
01/01/20,2020,villa_vallecas,8127.5,70.0,63.35,285.6
01/01/21,2021,villa_vallecas,8949.0,71.0,63.35,285.6
01/01/22,2022,villa_vallecas,6971.0,68.13,73.0,285.6
01/01/16,2016,vicalvaro,5144.0,64.8,63.65,161.57
01/01/17,2017,vicalvaro,4918.0,69.9,63.0,162.59
01/01/18,2018,vicalvaro,4508.0,67.8,60.65,164.8
01/01/19,2019,vicalvaro,4550.0,72.1,65.55,167.0
01/01/20,2020,vicalvaro,5083.5,71.55,65.55,193.8
01/01/21,2021,vicalvaro,5617.0,71.0,65.55,193.8
01/01/22,2022,vicalvaro,4505.0,69.53,73.5,193.8
01/01/16,2016,san_blas,10595.0,62.1,65.65,202.39
01/01/17,2017,san_blas,9662.0,64.7,62.85,182.38
01/01/18,2018,san_blas,8770.0,65.2,65.2,182.44
01/01/19,2019,san_blas,8747.0,70.3,71.0,182.5
01/01/20,2020,san_blas,10110.5,70.15,71.0,186.6
01/01/21,2021,san_blas,11474.0,70.0,71.0,186.6
01/01/22,2022,san_blas,8593.0,67.08,74.5,186.6
01/01/16,2016,barajas,2241.0,70.0,74.8,241.35
01/01/17,2017,barajas,2031.0,76.6,67.4,278.98
01/01/18,2018,barajas,1744.0,79.0,74.45,272.84
01/01/19,2019,barajas,1894.0,80.9,74.6,266.7
01/01/20,2020,barajas,2213.0,79.45,74.6,304.3
01/01/21,2021,barajas,2532.0,78.0,74.6,304.3
01/01/22,2022,barajas,1771.0,77.32,81.5,304.3
