date,valor,month,year
1994-01-31,6.34,1,1994
1994-02-28,6.42,2,1994
1994-03-31,6.55,3,1994
1994-04-30,6.46,4,1994
1994-05-31,6.25,5,1994
1994-06-30,6.62,6,1994
1994-07-31,6.77,7,1994
1994-08-31,7.08,8,1994
1994-09-30,7.31,9,1994
1994-10-31,7.3,10,1994
1994-11-30,7.19,11,1994
1994-12-31,7.51,12,1994
1995-01-31,7.66,1,1995
1995-02-28,7.5,2,1995
1995-03-31,8.02,3,1995
1995-04-30,7.63,4,1995
1995-05-31,7.25,5,1995
1995-06-30,7.24,6,1995
1995-07-31,7.16,7,1995
1995-08-31,6.83,8,1995
1995-09-30,6.59,9,1995
1995-10-31,6.76,10,1995
1995-11-30,6.43,11,1995
1995-12-31,6.21,12,1995
1996-01-31,5.69,1,1996
1996-02-29,5.56,2,1996
1996-03-31,5.55,3,1996
1996-04-30,5.32,4,1996
1996-05-31,5.07,5,1996
1996-06-30,5.19,6,1996
1996-07-31,5.18,7,1996
1996-08-31,5.16,8,1996
1996-09-30,4.96,9,1996
1996-10-31,4.67,10,1996
1996-11-30,4.54,11,1996
1996-12-31,4.39,12,1996
1997-01-31,4.25,1,1997
1997-02-28,4.32,2,1997
1997-03-31,4.55,3,1997
1997-04-30,4.47,4,1997
1997-05-31,4.36,5,1997
1997-06-30,4.33,6,1997
1997-07-31,4.32,7,1997
1997-08-31,4.49,8,1997
1997-09-30,4.42,9,1997
1997-10-31,4.55,10,1997
1997-11-30,4.56,11,1997
1997-12-31,4.41,12,1997
1998-01-31,4.22,1,1998
1998-02-28,4.17,2,1998
1998-03-31,4.05,3,1998
1998-04-30,4.12,4,1998
1998-05-31,4.13,5,1998
1998-06-30,4.08,6,1998
1998-07-31,4.01,7,1998
1998-08-31,3.93,8,1998
1998-09-30,3.75,9,1998
1998-10-31,3.59,10,1998
1998-11-30,3.55,11,1998
1998-12-31,3.27,12,1998
1999-01-31,3.0617,1,1999
1999-02-28,3.0297,2,1999
1999-03-31,3.0462,3,1999
1999-04-30,2.7564,4,1999
1999-05-31,2.6827,5,1999
1999-06-30,2.8363,6,1999
1999-07-31,3.03,7,1999
1999-08-31,3.2373,8,1999
1999-09-30,3.3011,9,1999
1999-10-31,3.6837,10,1999
1999-11-30,3.6892,11,1999
1999-12-31,3.8263,12,1999
2000-01-31,3.9495,1,2000
2000-02-29,4.1114,2,2000
2000-03-31,4.2675,3,2000
2000-04-30,4.3645,4,2000
2000-05-31,4.8485,5,2000
2000-06-30,4.9649,6,2000
2000-07-31,5.105,7,2000
2000-08-31,5.2484,8,2000
2000-09-30,5.2192,9,2000
2000-10-31,5.2184,10,2000
2000-11-30,5.1933,11,2000
2000-12-31,4.8809,12,2000
2001-01-31,4.5736,1,2001
2001-02-28,4.5913,2,2001
2001-03-31,4.4711,3,2001
2001-04-30,4.4811,4,2001
2001-05-31,4.5205,5,2001
2001-06-30,4.3125,6,2001
2001-07-31,4.3109,7,2001
2001-08-31,4.1075,8,2001
2001-09-30,3.77,9,2001
2001-10-31,3.3694,10,2001
2001-11-30,3.1979,11,2001
2001-12-31,3.2981,12,2001
2002-01-31,3.4832,1,2002
2002-02-28,3.5936,2,2002
2002-03-31,3.8156,3,2002
2002-04-30,3.8602,4,2002
2002-05-31,3.9627,5,2002
2002-06-30,3.8687,6,2002
2002-07-31,3.6448,7,2002
2002-08-31,3.4404,8,2002
2002-09-30,3.2364,9,2002
2002-10-31,3.1259,10,2002
2002-11-30,3.0174,11,2002
2002-12-31,2.8716,12,2002
2003-01-31,2.7045,1,2003
2003-02-28,2.5036,2,2003
2003-03-31,2.4112,3,2003
2003-04-30,2.447,4,2003
2003-05-31,2.2521,5,2003
2003-06-30,2.0137,6,2003
2003-07-31,2.0761,7,2003
2003-08-31,2.2786,8,2003
2003-09-30,2.2576,9,2003
2003-10-31,2.3025,10,2003
2003-11-30,2.4103,11,2003
2003-12-31,2.3808,12,2003
2004-01-31,2.2163,1,2004
2004-02-29,2.163,2,2004
2004-03-31,2.055,3,2004
2004-04-30,2.1626,4,2004
2004-05-31,2.2974,5,2004
2004-06-30,2.4044,6,2004
2004-07-31,2.361,7,2004
2004-08-31,2.302,8,2004
2004-09-30,2.377,9,2004
2004-10-31,2.3161,10,2004
2004-11-30,2.3283,11,2004
2004-12-31,2.301,12,2004
2005-01-31,2.3121,1,2005
2005-02-28,2.31,2,2005
2005-03-31,2.3348,3,2005
2005-04-30,2.2651,4,2005
2005-05-31,2.1933,5,2005
2005-06-30,2.1028,6,2005
2005-07-31,2.168,7,2005
2005-08-31,2.2229,8,2005
2005-09-30,2.2195,9,2005
2005-10-31,2.4136,10,2005
2005-11-30,2.6844,11,2005
2005-12-31,2.7833,12,2005
2006-01-31,2.8335,1,2006
2006-02-28,2.9142,2,2006
2006-03-31,3.1053,3,2006
2006-04-30,3.2214,4,2006
2006-05-31,3.3078,5,2006
2006-06-30,3.4005,6,2006
2006-07-31,3.5386,7,2006
2006-08-31,3.6151,8,2006
2006-09-30,3.7153,9,2006
2006-10-31,3.7992,10,2006
2006-11-30,3.8637,11,2006
2006-12-31,3.9209,12,2006
2007-01-31,4.0644,1,2007
2007-02-28,4.0936,2,2007
2007-03-31,4.1055,3,2007
2007-04-30,4.2527,4,2007
2007-05-31,4.3731,5,2007
2007-06-30,4.5055,6,2007
2007-07-31,4.5638,7,2007
2007-08-31,4.6663,8,2007
2007-09-30,4.7245,9,2007
2007-10-31,4.6467,10,2007
2007-11-30,4.6072,11,2007
2007-12-31,4.7929,12,2007
2008-01-31,4.498,1,2008
2008-02-29,4.3489,2,2008
2008-03-31,4.5901,3,2008
2008-04-30,4.8199,4,2008
2008-05-31,4.9938,5,2008
2008-06-30,5.3608,6,2008
2008-07-31,5.3932,7,2008
2008-08-31,5.323,8,2008
2008-09-30,5.3839,9,2008
2008-10-31,5.2478,10,2008
2008-11-30,4.3504,11,2008
2008-12-31,3.452,12,2008
2009-01-31,2.6216,1,2009
2009-02-28,2.1354,2,2009
2009-03-31,1.9089,3,2009
2009-04-30,1.771,4,2009
2009-05-31,1.6444,5,2009
2009-06-30,1.6105,6,2009
2009-07-31,1.412,7,2009
2009-08-31,1.3343,8,2009
2009-09-30,1.261,9,2009
2009-10-31,1.2426,10,2009
2009-11-30,1.2306,11,2009
2009-12-31,1.2424,12,2009
2010-01-31,1.2322,1,2010
2010-02-28,1.2252,2,2010
2010-03-31,1.2151,3,2010
2010-04-30,1.2252,4,2010
2010-05-31,1.2493,5,2010
2010-06-30,1.2813,6,2010
2010-07-31,1.3734,7,2010
2010-08-31,1.421,8,2010
2010-09-30,1.4205,9,2010
2010-10-31,1.4954,10,2010
2010-11-30,1.5405,11,2010
2010-12-31,1.5261,12,2010
2011-01-31,1.55,1,2011
2011-02-28,1.714,2,2011
2011-03-31,1.9241,3,2011
2011-04-30,2.0856,4,2011
2011-05-31,2.1471,5,2011
2011-06-30,2.1441,6,2011
2011-07-31,2.1827,7,2011
2011-08-31,2.0969,8,2011
2011-09-30,2.0669,9,2011
2011-10-31,2.1101,10,2011
2011-11-30,2.0439,11,2011
2011-12-31,2.0035,12,2011
2012-01-31,1.8366,1,2012
2012-02-29,1.6783,2,2012
2012-03-31,1.4985,3,2012
2012-04-30,1.3678,4,2012
2012-05-31,1.266,5,2012
2012-06-30,1.219,6,2012
2012-07-31,1.0608,7,2012
2012-08-31,0.8766,8,2012
2012-09-30,0.7398,9,2012
2012-10-31,0.6501,10,2012
2012-11-30,0.5879,11,2012
2012-12-31,0.5493,12,2012
2013-01-31,0.5753,1,2013
2013-02-28,0.5942,2,2013
2013-03-31,0.545,3,2013
2013-04-30,0.5284,4,2013
2013-05-31,0.4838,5,2013
2013-06-30,0.5071,6,2013
2013-07-31,0.5254,7,2013
2013-08-31,0.5423,8,2013
2013-09-30,0.5434,9,2013
2013-10-31,0.541,10,2013
2013-11-30,0.5064,11,2013
2013-12-31,0.5425,12,2013
2014-01-31,0.5621,1,2014
2014-02-28,0.549,2,2014
2014-03-31,0.5773,3,2014
2014-04-30,0.6039,4,2014
2014-05-31,0.5923,5,2014
2014-06-30,0.5127,6,2014
2014-07-31,0.4875,7,2014
2014-08-31,0.4691,8,2014
2014-09-30,0.3623,9,2014
2014-10-31,0.3376,10,2014
2014-11-30,0.3347,11,2014
2014-12-31,0.3285,12,2014
2015-01-31,0.2982,1,2015
2015-02-28,0.255,2,2015
2015-03-31,0.2124,3,2015
2015-04-30,0.1804,4,2015
2015-05-31,0.1654,5,2015
2015-06-30,0.163,6,2015
2015-07-31,0.1673,7,2015
2015-08-31,0.1613,8,2015
2015-09-30,0.1536,9,2015
2015-10-31,0.1279,10,2015
2015-11-30,0.0789,11,2015
2015-12-31,0.0589,12,2015
2016-01-31,0.0424,1,2016
2016-02-29,-0.0079,2,2016
2016-03-31,-0.0124,3,2016
2016-04-30,-0.0098,4,2016
2016-05-31,-0.0126,5,2016
2016-06-30,-0.028,6,2016
2016-07-31,-0.056,7,2016
2016-08-31,-0.0483,8,2016
2016-09-30,-0.0571,9,2016
2016-10-31,-0.0688,10,2016
2016-11-30,-0.074,11,2016
2016-12-31,-0.0804,12,2016
2017-01-31,-0.0945,1,2017
2017-02-28,-0.1059,2,2017
2017-03-31,-0.1096,3,2017
2017-04-30,-0.119,4,2017
2017-05-31,-0.1272,5,2017
2017-06-30,-0.1491,6,2017
2017-07-31,-0.1541,7,2017
2017-08-31,-0.1563,8,2017
2017-09-30,-0.1683,9,2017
2017-10-31,-0.1798,10,2017
2017-11-30,-0.189,11,2017
2017-12-31,-0.1897,12,2017
2018-01-31,-0.1887,1,2018
2018-02-28,-0.1912,2,2018
2018-03-31,-0.191,3,2018
2018-04-30,-0.1897,4,2018
2018-05-31,-0.188,5,2018
2018-06-30,-0.1815,6,2018
2018-07-31,-0.1795,7,2018
2018-08-31,-0.1693,8,2018
2018-09-30,-0.1662,9,2018
2018-10-31,-0.1538,10,2018
2018-11-30,-0.1474,11,2018
2018-12-31,-0.1287,12,2018
2019-01-31,-0.1159,1,2019
2019-02-28,-0.1084,2,2019
2019-03-31,-0.1088,3,2019
2019-04-30,-0.1122,4,2019
2019-05-31,-0.1339,5,2019
2019-06-30,-0.1903,6,2019
2019-07-31,-0.2833,7,2019
2019-08-31,-0.3563,8,2019
2019-09-30,-0.3391,9,2019
2019-10-31,-0.3042,10,2019
2019-11-30,-0.272,11,2019
2019-12-31,-0.2614,12,2019
2020-01-31,-0.2534,1,2020
2020-02-29,-0.2881,2,2020
2020-03-31,-0.2656,3,2020
2020-04-30,-0.1082,4,2020
2020-05-31,-0.0814,5,2020
2020-06-30,-0.1475,6,2020
2020-07-31,-0.2789,7,2020
2020-08-31,-0.3589,8,2020
2020-09-30,-0.4146,9,2020
2020-10-31,-0.466,10,2020
2020-11-30,-0.4806,11,2020
2020-12-31,-0.4966,12,2020
2021-01-31,-0.5047,1,2021
2021-02-28,-0.5009,2,2021
2021-03-31,-0.4867,3,2021
2021-04-30,-0.4835,4,2021
2021-05-31,-0.4806,5,2021
2021-06-30,-0.4839,6,2021
2021-07-31,-0.4907,7,2021
2021-08-31,-0.4982,8,2021
2021-09-30,-0.4923,9,2021
2021-10-31,-0.4768,10,2021
2021-11-30,-0.487,11,2021
2021-12-31,-0.502,12,2021
2022-01-31,-0.4767,1,2022
2022-02-28,-0.3353,2,2022
2022-03-31,-0.2374,3,2022
2022-04-30,0.0131,4,2022
2022-05-31,0.2866,5,2022
2022-06-30,0.8522,6,2022
2022-07-31,0.9915,7,2022
2022-08-31,1.2495,8,2022
2022-09-30,2.233,9,2022
2022-10-31,2.6294,10,2022
2022-11-30,2.8283,11,2022
2022-12-31,3.0181,12,2022
2023-01-31,3.337,1,2023
2023-02-28,3.5336,2,2023
2023-03-31,3.6466,3,2023
2023-04-30,3.7437,4,2023
2023-05-31,3.8618,5,2023
2023-06-30,4.0073,6,2023
